company,timestamp,numberOfRecipients,numberOfCCs,numberOfBCCs,recipientType,lengthOfThread,responseTime,titleTone,titleLength,messageTone,messageLength,recipientRoleLevel,employeeID
InspireTech Inc.,2024-11-02T21:00:00,6,5,0,internal,4,2959,positive,15,neutral,50,same,E001
InspireTech Inc.,2024-11-02T14:00:00,3,1,0,internal,7,4711,positive,10,aggressive,200,same,E001
InspireTech Inc.,2024-11-02T10:00:00,6,5,0,external,1,6976,neutral,20,threatening,160,same,E001
InspireTech Inc.,2024-11-01T09:00:00,1,0,0,internal,3,6717,negative,10,threatening,200,same,E001
InspireTech Inc.,2024-11-01T10:00:00,1,0,0,external,2,5071,negative,20,serious,110,same,E001
InspireTech Inc.,2024-11-01T15:00:00,7,4,1,internal,7,1968,negative,10,neutral,70,same,E001
InspireTech Inc.,2024-11-02T19:00:00,4,2,1,internal,4,1720,negative,5,informative,190,same,E001
InspireTech Inc.,2024-11-01T11:00:00,5,2,2,external,2,2188,neutral,10,invitation,140,same,E001
InspireTech Inc.,2024-11-01T22:00:00,9,1,1,internal,7,2325,positive,10,informative,100,same,E001
InspireTech Inc.,2024-11-02T10:00:00,2,1,0,external,6,1181,positive,10,aggressive,10,same,E001
InspireTech Inc.,2024-11-02T21:00:00,2,0,0,internal,1,4851,neutral,10,serious,10,same,E001
InspireTech Inc.,2024-11-02T18:00:00,3,0,1,internal,4,744,positive,5,aggressive,100,same,E001
InspireTech Inc.,2024-11-01T11:00:00,3,0,1,internal,8,4894,positive,10,aggressive,80,same,E001
InspireTech Inc.,2024-11-01T08:00:00,4,3,0,internal,1,5554,negative,20,serious,100,same,E001
InspireTech Inc.,2024-11-02T02:00:00,8,2,1,external,7,6095,neutral,5,informative,80,same,E001
InspireTech Inc.,2024-11-01T02:00:00,8,5,0,external,5,3493,positive,5,aggressive,180,same,E001
InspireTech Inc.,2024-11-02T17:00:00,7,4,0,internal,4,6177,positive,20,invitation,80,same,E001
InspireTech Inc.,2024-11-01T22:00:00,9,0,3,external,4,5480,negative,20,aggressive,40,same,E001
InspireTech Inc.,2024-11-01T01:00:00,10,2,2,internal,10,5902,neutral,15,informative,60,same,E001
InspireTech Inc.,2024-11-01T06:00:00,9,0,0,internal,4,4623,negative,10,invitation,50,same,E001
InspireTech Inc.,2024-11-02T19:00:00,5,1,2,internal,10,4346,negative,5,neutral,60,same,E001
InspireTech Inc.,2024-11-02T00:00:00,4,3,0,internal,4,4048,negative,5,serious,150,same,E001
InspireTech Inc.,2024-11-02T10:00:00,1,0,0,internal,7,4856,neutral,5,concerned,60,same,E001
InspireTech Inc.,2024-11-02T17:00:00,7,2,2,internal,3,2347,positive,5,informative,160,same,E001
InspireTech Inc.,2024-11-01T04:00:00,4,0,3,external,5,3064,neutral,10,aggressive,170,same,E001
InspireTech Inc.,2024-11-01T06:00:00,6,3,2,external,7,651,negative,10,invitation,180,same,E001
InspireTech Inc.,2024-11-02T21:00:00,7,0,0,external,7,5169,neutral,5,neutral,150,same,E001
InspireTech Inc.,2024-11-02T00:00:00,9,0,1,external,8,4790,positive,10,serious,130,same,E001
InspireTech Inc.,2024-11-01T16:00:00,8,5,2,internal,4,3033,negative,5,informative,140,same,E001
InspireTech Inc.,2024-11-01T06:00:00,4,1,0,external,3,5173,positive,20,serious,200,same,E001
InspireTech Inc.,2024-11-01T04:00:00,5,4,0,internal,5,168,positive,10,neutral,80,same,E001
InspireTech Inc.,2024-11-02T15:00:00,4,0,1,internal,4,2140,neutral,20,funny,50,same,E001
InspireTech Inc.,2024-11-01T03:00:00,8,1,3,internal,4,3588,negative,15,informative,70,same,E001
InspireTech Inc.,2024-11-01T11:00:00,5,4,0,external,4,4732,neutral,20,funny,10,same,E001
InspireTech Inc.,2024-11-01T19:00:00,10,4,1,internal,10,5937,neutral,5,informative,120,same,E001
InspireTech Inc.,2024-11-01T17:00:00,3,1,1,internal,4,365,neutral,10,funny,60,same,E001
InspireTech Inc.,2024-11-02T16:00:00,8,4,2,internal,10,2601,negative,10,neutral,120,same,E001
InspireTech Inc.,2024-11-01T20:00:00,10,1,2,internal,7,3517,negative,10,serious,70,same,E001
InspireTech Inc.,2024-11-02T07:00:00,7,3,2,external,7,3364,neutral,15,invitation,120,same,E001
InspireTech Inc.,2024-11-02T15:00:00,9,4,3,external,2,4811,positive,20,informative,20,same,E001
InspireTech Inc.,2024-11-02T19:00:00,7,1,1,internal,10,5239,neutral,15,informative,110,same,E001
InspireTech Inc.,2024-11-02T12:00:00,7,1,0,internal,8,5365,neutral,5,aggressive,70,same,E001
InspireTech Inc.,2024-11-01T03:00:00,6,4,1,internal,2,621,positive,20,funny,130,same,E001
InspireTech Inc.,2024-11-01T17:00:00,8,1,3,external,5,1572,neutral,10,informative,20,same,E001
InspireTech Inc.,2024-11-02T03:00:00,6,0,2,external,9,1127,positive,10,informative,50,same,E001
InspireTech Inc.,2024-11-02T03:00:00,1,0,0,external,6,2632,negative,10,neutral,100,same,E001
InspireTech Inc.,2024-11-02T18:00:00,10,4,1,internal,3,6457,positive,10,concerned,50,same,E001
InspireTech Inc.,2024-11-02T08:00:00,5,4,0,internal,5,3965,negative,15,serious,60,same,E001
InspireTech Inc.,2024-11-01T04:00:00,9,0,0,internal,3,3673,negative,10,concerned,120,same,E001
InspireTech Inc.,2024-11-02T23:00:00,4,0,3,external,1,879,neutral,5,funny,80,same,E001
InspireTech Inc.,2024-11-01T01:00:00,10,0,0,internal,2,4676,neutral,10,invitation,50,same,E001
InspireTech Inc.,2024-11-02T07:00:00,3,0,1,internal,5,2534,positive,5,concerned,180,same,E001
InspireTech Inc.,2024-11-02T19:00:00,5,0,2,external,4,6495,neutral,15,invitation,50,same,E001
InspireTech Inc.,2024-11-03T00:00:00,1,0,0,internal,4,5795,neutral,5,threatening,160,same,E001
InspireTech Inc.,2024-11-02T12:00:00,1,0,0,internal,5,1848,negative,20,invitation,170,same,E001
InspireTech Inc.,2024-11-01T18:00:00,3,2,0,internal,1,588,negative,15,serious,180,same,E001
InspireTech Inc.,2024-11-01T16:00:00,4,3,0,external,5,5908,negative,10,neutral,150,same,E001
InspireTech Inc.,2024-11-02T17:00:00,4,1,2,internal,4,3709,positive,20,funny,90,same,E001
InspireTech Inc.,2024-11-01T16:00:00,1,0,0,internal,7,3375,neutral,5,serious,170,same,E001
InspireTech Inc.,2024-11-01T08:00:00,1,0,0,internal,9,4023,negative,5,concerned,140,same,E001
InspireTech Inc.,2024-11-02T05:00:00,6,3,0,internal,2,4254,positive,10,funny,90,same,E001
InspireTech Inc.,2024-11-01T13:00:00,4,3,0,external,1,2845,positive,20,informative,160,same,E001
InspireTech Inc.,2024-11-02T07:00:00,4,2,0,external,7,5247,positive,5,neutral,180,same,E001
InspireTech Inc.,2024-11-01T18:00:00,3,2,0,internal,10,1976,positive,5,neutral,60,same,E001
InspireTech Inc.,2024-11-01T21:00:00,4,1,1,external,2,4000,positive,20,funny,140,same,E001
InspireTech Inc.,2024-11-01T22:00:00,3,0,0,external,6,1782,negative,5,informative,50,same,E001
InspireTech Inc.,2024-11-01T18:00:00,6,2,2,internal,5,4307,neutral,15,serious,160,same,E001
InspireTech Inc.,2024-11-01T14:00:00,3,2,0,internal,2,1283,positive,15,threatening,60,same,E001
InspireTech Inc.,2024-11-01T19:00:00,7,0,1,internal,10,1440,neutral,20,concerned,190,same,E001
InspireTech Inc.,2024-11-01T02:00:00,8,3,1,internal,10,1287,neutral,15,threatening,200,same,E001
InspireTech Inc.,2024-11-01T14:00:00,3,1,1,internal,8,3447,negative,10,aggressive,110,same,E001
InspireTech Inc.,2024-11-01T21:00:00,8,1,1,internal,5,4960,positive,15,threatening,160,same,E001
InspireTech Inc.,2024-11-02T12:00:00,6,1,2,external,5,6956,positive,20,informative,30,same,E001
InspireTech Inc.,2024-11-02T11:00:00,6,4,1,external,10,1348,positive,15,aggressive,10,same,E001
InspireTech Inc.,2024-11-01T19:00:00,8,0,1,internal,10,4925,negative,20,informative,30,same,E001
InspireTech Inc.,2024-11-03T00:00:00,5,3,0,internal,5,3737,neutral,5,aggressive,150,same,E001
InspireTech Inc.,2024-11-02T12:00:00,4,3,0,external,2,1912,negative,20,funny,190,same,E001
InspireTech Inc.,2024-11-01T00:00:00,5,2,0,external,8,5197,positive,15,invitation,130,same,E001
InspireTech Inc.,2024-11-02T19:00:00,1,0,0,external,1,1920,neutral,20,funny,40,same,E001
InspireTech Inc.,2024-11-02T09:00:00,4,1,1,external,4,7063,neutral,15,funny,40,same,E001
InspireTech Inc.,2024-11-01T13:00:00,5,0,2,external,6,1509,positive,15,neutral,170,same,E001
InspireTech Inc.,2024-11-01T02:00:00,5,1,3,internal,7,930,negative,15,neutral,60,same,E001
InspireTech Inc.,2024-11-02T04:00:00,4,1,2,internal,6,6389,negative,5,invitation,160,same,E001
InspireTech Inc.,2024-11-02T19:00:00,2,1,0,internal,9,422,positive,15,threatening,70,same,E001
InspireTech Inc.,2024-11-02T23:00:00,10,5,3,internal,1,4524,negative,10,concerned,100,same,E001
InspireTech Inc.,2024-11-01T22:00:00,3,2,0,external,1,705,negative,20,concerned,20,same,E001
InspireTech Inc.,2024-11-02T06:00:00,10,4,0,internal,5,1229,negative,15,neutral,140,same,E001
InspireTech Inc.,2024-11-02T04:00:00,9,2,0,internal,8,4143,negative,5,aggressive,70,same,E001
InspireTech Inc.,2024-11-02T21:00:00,8,1,2,external,8,5911,neutral,20,concerned,160,same,E001
InspireTech Inc.,2024-11-02T10:00:00,4,3,0,external,1,4768,positive,15,threatening,20,same,E001
InspireTech Inc.,2024-11-02T19:00:00,9,1,0,external,2,6391,positive,10,concerned,90,same,E001
InspireTech Inc.,2024-11-02T20:00:00,1,0,0,internal,2,2872,positive,20,neutral,180,same,E001
InspireTech Inc.,2024-11-02T21:00:00,5,3,1,external,6,267,neutral,5,serious,160,same,E001
InspireTech Inc.,2024-11-01T21:00:00,6,3,1,internal,10,5556,positive,20,funny,110,same,E001
InspireTech Inc.,2024-11-01T13:00:00,3,2,0,internal,1,5953,negative,20,neutral,60,same,E001
InspireTech Inc.,2024-11-02T21:00:00,6,1,3,internal,3,310,positive,20,neutral,90,same,E001
InspireTech Inc.,2024-11-02T16:00:00,2,1,0,external,3,4283,neutral,15,aggressive,180,same,E001
InspireTech Inc.,2024-11-02T16:00:00,2,1,0,external,7,1102,positive,15,threatening,20,same,E001
InspireTech Inc.,2024-11-01T10:00:00,3,0,1,external,1,3134,negative,20,aggressive,120,same,E001
InspireTech Inc.,2024-11-02T12:00:00,8,2,3,internal,3,5682,neutral,5,concerned,40,same,E001
InspireTech Inc.,2024-11-01T23:00:00,1,0,0,external,7,4006,positive,5,funny,70,same,E001
InspireTech Inc.,2024-11-02T22:00:00,10,1,1,internal,3,4147,negative,10,invitation,100,same,E001
InspireTech Inc.,2024-11-01T23:00:00,7,0,0,external,8,4233,positive,15,informative,70,same,E001
InspireTech Inc.,2024-11-02T23:00:00,6,1,3,internal,7,1690,neutral,20,threatening,130,same,E001
InspireTech Inc.,2024-11-01T12:00:00,1,0,0,internal,5,1820,positive,5,concerned,50,same,E001
