company,timestamp,numberOfRecipients,numberOfCCs,numberOfBCCs,recipientType,lengthOfThread,responseTime,titleTone,titleLength,messageTone,messageLength,recipientRoleLevel
InspireTech Inc.,2023-10-01T08:00:00Z,5,2,0,internal,4,7200,informative,15,informative,150,same
InspireTech Inc.,2023-10-01T11:45:00Z,4,0,0,internal,3,1800,concerned,20,concerned,200,same
InspireTech Inc.,2023-10-01T14:30:00Z,2,1,0,internal,5,5400,serious,15,serious,150,same
InspireTech Inc.,2023-10-02T08:15:00Z,2,0,0,internal,1,0,neutral,10,neutral,100,same
InspireTech Inc.,2023-10-02T12:30:00Z,2,0,0,internal,3,5400,serious,15,serious,150,same
InspireTech Inc.,2023-10-02T15:30:00Z,1,0,1,internal,1,0,neutral,5,neutral,50,same
InspireTech Inc.,2023-10-03T10:00:00Z,5,2,0,internal,6,10800,serious,15,serious,150,same
InspireTech Inc.,2023-10-03T14:30:00Z,3,0,1,internal,3,5400,concerned,20,concerned,200,same
InspireTech Inc.,2023-10-04T08:45:00Z,2,0,1,internal,2,1800,neutral,10,neutral,100,same
InspireTech Inc.,2023-10-04T13:15:00Z,5,2,0,internal,5,7200,serious,15,serious,150,same
InspireTech Inc.,2023-10-04T16:15:00Z,2,1,0,internal,3,3600,neutral,10,neutral,100,same
InspireTech Inc.,2023-10-01T10:15:00Z,3,0,1,internal,2,3600,serious,15,serious,120,below
InspireTech Inc.,2023-10-01T17:30:00Z,5,2,0,external,2,7200,informative,15,informative,150,below
InspireTech Inc.,2023-10-02T11:00:00Z,3,1,1,internal,4,3600,concerned,20,concerned,200,below
InspireTech Inc.,2023-10-03T08:30:00Z,2,0,1,external,1,0,informative,10,informative,100,below
InspireTech Inc.,2023-10-03T11:30:00Z,1,0,0,internal,1,0,neutral,5,neutral,50,below
InspireTech Inc.,2023-10-03T17:30:00Z,1,0,0,external,1,0,informative,5,informative,50,below
InspireTech Inc.,2023-10-04T11:45:00Z,4,0,1,internal,4,5400,concerned,20,concerned,200,below
InspireTech Inc.,2023-10-01T09:30:00Z,2,1,0,external,1,0,neutral,10,neutral,100,above
InspireTech Inc.,2023-10-01T13:00:00Z,1,0,0,external,1,0,informative,10,informative,100,above
InspireTech Inc.,2023-10-01T16:00:00Z,3,0,1,internal,6,10800,concerned,20,concerned,200,above
InspireTech Inc.,2023-10-02T09:45:00Z,1,0,0,external,1,0,informative,5,informative,50,above
InspireTech Inc.,2023-10-02T14:00:00Z,4,2,0,external,2,1800,informative,10,informative,100,above
InspireTech Inc.,2023-10-02T17:00:00Z,3,1,0,internal,5,7200,concerned,20,concerned,200,above
InspireTech Inc.,2023-10-03T13:00:00Z,2,1,0,external,2,3600,informative,10,informative,100,above
InspireTech Inc.,2023-10-03T16:00:00Z,4,2,0,internal,5,7200,serious,15,serious,150,above
InspireTech Inc.,2023-10-04T10:15:00Z,3,1,0,external,3,3600,serious,15,serious,150,above
InspireTech Inc.,2023-10-04T14:45:00Z,1,0,0,external,1,0,informative,5,informative,50,above
